trade_id,symbol,account,trade_date,side,quantity,price,venue,trade_type,signed_qty,notional,fee,settlement_date
T100101,AAPL,ACC2,2023-03-10,SELL,2492,804.75,ARCA,REG,-2492,2005437.0,816.58,2023-03-11
T100266,AAPL,ACC2,2023-03-10,SELL,1262,475.31,NASDAQ,REG,-1262,599841.22,244.25,2023-03-11
T100156,AAPL,ACC3,2023-03-10,BUY,4252,705.01,BATS,MOO,4252,2997702.52,1220.62,2023-03-11
T100270,AMZN,ACC1,2023-03-10,BUY,3559,727.45,BATS,REG,3559,2588994.5500000003,1054.2,2023-03-11
T100052,AMZN,ACC2,2023-03-10,SELL,2882,201.76,ARCA,MOO,-2882,581472.32,236.77,2023-03-11
T100251,AMZN,ACC3,2023-03-10,BUY,1772,201.75,NYSE,VWAP,1772,357501.0,145.57,2023-03-11
T100002,GOOGL,ACC2,2023-03-10,BUY,2381,1.0497,NASDAQ,REG,2381,2499.3357,101.77,2023-03-11
T100099,GOOGL,ACC2,2023-03-10,BUY,999,958.12,BATS,MOC,999,957161.88,389.74,2023-03-11
T100093,JPM,ACC1,2023-03-10,SELL,351,245.96,NASDAQ,MOC,-351,86331.96,35.15,2023-03-11
T100121,JPM,ACC2,2023-03-10,SELL,3345,487.14,ARCA,MOC,-3345,1629483.3,663.5,2023-03-11
T100103,META,ACC2,2023-03-10,BUY,732,232.0,ARCA,REG,732,169824.0,69.15,2023-03-11
T100015,MSFT,ACC1,2023-03-10,SELL,2607,63.28,BATS,MOC,-2607,164970.96,67.17,2023-03-11
T100155,MSFT,ACC1,2023-03-10,BUY,3166,123.72,BATS,MOC,3166,391697.52,159.49,2023-03-11
T100073,MSFT,ACC3,2023-03-10,BUY,4981,597.33,NASDAQ,VWAP,4981,2975300.73,1211.5,2023-03-11
T100033,NVDA,ACC1,2023-03-10,SELL,2945,377.4,NASDAQ,MOC,-2945,1111443.0,452.56,2023-03-11
T100207,NVDA,ACC1,2023-03-10,SELL,50,267.46,NASDAQ,MOO,-50,13372.999999999998,5.45,2023-03-11
T100239,NVDA,ACC1,2023-03-10,BUY,1146,552.37,NYSE,REG,1146,633016.02,257.75,2023-03-11
T100170,NVDA,ACC2,2023-03-10,SELL,4501,209.27,ARCA,MOC,-4501,941924.27,383.54,2023-03-11
T100210,NVDA,ACC3,2023-03-10,BUY,1632,479.17,NYSE,VWAP,1632,782005.4400000001,318.42,2023-03-11
T100257,NVDA,ACC3,2023-03-10,SELL,2130,567.24,NYSE,VWAP,-2130,1208221.2,491.97,2023-03-11
T100277,NVDA,ACC3,2023-03-10,BUY,339,163.0,BATS,REG,339,55257.0,22.5,2023-03-11
T100018,SPY,ACC1,2023-03-10,BUY,824,564.69,NYSE,MOC,824,465304.56000000006,189.46,2023-03-11
T100133,SPY,ACC2,2023-03-10,SELL,842,541.95,ARCA,MOC,-842,456321.9,185.81,2023-03-11
T100058,SPY,ACC3,2023-03-10,BUY,3512,106.77,BATS,MOO,3512,374976.24,152.68,2023-03-11
T100053,TSLA,ACC2,2023-03-10,BUY,3082,396.28,BATS,VWAP,3082,1221334.96,497.31,2023-03-11
T100030,XOM,ACC1,2023-03-10,SELL,2740,531.99,NASDAQ,VWAP,-2740,1457652.6,593.53,2023-03-11
T100202,XOM,ACC1,2023-03-10,SELL,814,395.94,ARCA,REG,-814,322295.16,131.23,2023-03-11
